    271 ascii with confidence 1.0
      1 windows-1251 with confidence 0.9736185198291646
      1 windows-1251 with confidence 0.974206803833585
      1 windows-1251 with confidence 0.9745101968863955
      1 windows-1251 with confidence 0.9747046103267173
      1 windows-1251 with confidence 0.9747519462977133
      1 windows-1251 with confidence 0.9747760905953753
      1 windows-1251 with confidence 0.9749940061383572
      1 windows-1251 with confidence 0.9751307683266605
      1 windows-1251 with confidence 0.9753332527424369
      1 windows-1251 with confidence 0.9753477828734963
      1 windows-1251 with confidence 0.9753745926863145
      1 windows-1251 with confidence 0.9754863499742621
      1 windows-1251 with confidence 0.9755041692822962
      1 windows-1251 with confidence 0.9756596488015529
      1 windows-1251 with confidence 0.9759813758166417
      1 windows-1251 with confidence 0.9760476713163588
      1 windows-1251 with confidence 0.9764311379238667
      1 windows-1251 with confidence 0.9768195307726052
      1 windows-1251 with confidence 0.9768404856843949
      1 windows-1251 with confidence 0.976982713649758
      1 windows-1251 with confidence 0.9770966276756895
      1 windows-1251 with confidence 0.9771597143408843
      1 windows-1251 with confidence 0.977268599505951
      1 windows-1251 with confidence 0.9775780790713612
      1 windows-1251 with confidence 0.977587135122577
      1 windows-1251 with confidence 0.9775914249599208
      1 windows-1251 with confidence 0.9777621817312461
      1 windows-1251 with confidence 0.9777647549954751
      1 windows-1251 with confidence 0.9778817111456257
      1 windows-1251 with confidence 0.9779699381995541
      1 windows-1251 with confidence 0.9782723974126416
      1 windows-1251 with confidence 0.9783871222965956
      1 windows-1251 with confidence 0.9789248911420088
      1 windows-1251 with confidence 0.9789421141686199
      1 windows-1251 with confidence 0.9790645882461881
      1 windows-1251 with confidence 0.9791405082093796
      1 windows-1251 with confidence 0.9792590945881796
      1 windows-1251 with confidence 0.9794665480765142
      1 windows-1251 with confidence 0.9795936933398873
      1 windows-1251 with confidence 0.9796451231565563
      1 windows-1251 with confidence 0.9796548064809086
      1 windows-1251 with confidence 0.9798172408190542
      1 windows-1251 with confidence 0.9798730892363409
      1 windows-1251 with confidence 0.9798860436943204
      1 windows-1251 with confidence 0.9799497255332206
      1 windows-1251 with confidence 0.9801703406536524
      1 windows-1251 with confidence 0.980203283951175
      1 windows-1251 with confidence 0.9802468766425739
      1 windows-1251 with confidence 0.980251237481655
      1 windows-1251 with confidence 0.980264905751772
      1 windows-1251 with confidence 0.9804291940225135
      1 windows-1251 with confidence 0.9805286830956845
      1 windows-1251 with confidence 0.9805568029896873
      1 windows-1251 with confidence 0.9806675443211071
      1 windows-1251 with confidence 0.9807900409245269
      1 windows-1251 with confidence 0.9808438364771724
      1 windows-1251 with confidence 0.980965090777854
      1 windows-1251 with confidence 0.9810436316932938
      1 windows-1251 with confidence 0.9811654087484697
      1 windows-1251 with confidence 0.98117471824686
      1 windows-1251 with confidence 0.981205623155779
      1 windows-1251 with confidence 0.9812909342808698
      1 windows-1251 with confidence 0.9814028206331131
      1 windows-1251 with confidence 0.9814299413477163
      1 windows-1251 with confidence 0.9815409036477656
      1 windows-1251 with confidence 0.9816467684099789
      1 windows-1251 with confidence 0.9818825830459594
      1 windows-1251 with confidence 0.9819959408490748
      1 windows-1251 with confidence 0.9820649117679143
      1 windows-1251 with confidence 0.9821171558228466
      1 windows-1251 with confidence 0.98216068658304
      1 windows-1251 with confidence 0.9823909010436666
      1 windows-1251 with confidence 0.9826049377685014
      1 windows-1251 with confidence 0.982663113172241
      1 windows-1251 with confidence 0.9828249546871787
      1 windows-1251 with confidence 0.9828362091809314
      1 windows-1251 with confidence 0.9832614213667416
      1 windows-1251 with confidence 0.983345431211613
      1 windows-1251 with confidence 0.9833638574958072
      1 windows-1251 with confidence 0.9834179208659739
      1 windows-1251 with confidence 0.9834301991014164
      1 windows-1251 with confidence 0.9834809098448793
      1 windows-1251 with confidence 0.9834864336948544
      1 windows-1251 with confidence 0.9835773853285068
